iter	Passed	Remaining
0	28	17047
1	56	17008
2	83	16661
3	112	16699
4	138	16501
5	165	16396
6	193	16366
7	224	16610
8	253	16619
9	281	16601
10	307	16462
11	333	16361
12	360	16258
13	386	16195
14	414	16166
15	441	16132
16	470	16124
17	498	16112
18	526	16099
19	555	16095
20	584	16103
21	613	16130
22	651	16342
23	683	16410
24	714	16436
25	744	16438
26	776	16481
27	805	16463
28	837	16484
29	871	16551
30	901	16542
31	931	16540
32	966	16610
33	998	16615
34	1033	16685
35	1066	16704
36	1100	16745
37	1133	16758
38	1166	16779
39	1199	16791
40	1230	16772
41	1260	16748
42	1290	16713
43	1319	16677
44	1349	16644
45	1383	16661
46	1413	16629
47	1443	16594
48	1472	16562
49	1503	16539
50	1538	16556
51	1568	16532
52	1599	16511
53	1629	16480
54	1659	16445
55	1690	16419
56	1721	16399
57	1753	16389
58	1788	16400
59	1818	16369
60	1850	16350
61	1880	16318
62	1909	16280
63	1941	16262
64	1973	16247
65	2005	16223
66	2035	16196
67	2067	16171
68	2096	16137
69	2126	16102
70	2157	16076
71	2188	16047
72	2219	16024
73	2249	15988
74	2281	15969
75	2320	15995
76	2348	15951
77	2378	15920
78	2410	15899
79	2444	15890
80	2477	15877
81	2509	15851
82	2539	15819
83	2570	15789
84	2601	15763
85	2634	15746
86	2668	15734
87	2699	15704
88	2730	15676
89	2761	15645
90	2791	15614
91	2821	15581
92	2854	15559
93	2885	15534
94	2917	15510
95	2948	15481
96	2982	15464
97	3013	15437
98	3044	15406
99	3077	15385
100	3107	15350
101	3136	15314
102	3167	15285
103	3199	15257
104	3228	15220
105	3259	15190
106	3295	15182
107	3333	15184
108	3368	15175
109	3405	15168
110	3441	15159
111	3480	15163
112	3520	15171
113	3561	15184
114	3601	15188
115	3641	15195
116	3678	15186
117	3714	15173
118	3751	15163
119	3789	15156
120	3820	15124
121	3856	15111
122	3888	15079
123	3920	15050
124	3954	15026
125	3989	15008
126	4026	14996
127	4060	14972
128	4094	14949
129	4129	14930
130	4163	14905
131	4194	14872
132	4231	14856
133	4260	14816
134	4290	14779
135	4321	14745
136	4351	14706
137	4383	14674
138	4415	14642
139	4445	14607
140	4477	14577
141	4507	14539
142	4539	14506
143	4568	14467
144	4601	14437
145	4635	14413
146	4668	14386
147	4699	14353
148	4732	14325
149	4765	14297
150	4795	14259
151	4825	14223
152	4856	14189
153	4888	14157
154	4920	14125
155	4952	14096
156	4981	14057
157	5012	14021
158	5042	13984
159	5071	13946
160	5102	13913
161	5134	13880
162	5167	13853
163	5200	13826
164	5235	13802
165	5269	13777
166	5299	13741
167	5332	13712
168	5362	13677
169	5396	13650
170	5429	13621
171	5460	13588
172	5492	13556
173	5524	13525
174	5555	13491
175	5585	13456
176	5616	13421
177	5647	13388
178	5693	13390
179	5724	13357
180	5754	13320
181	5783	13282
182	5812	13245
183	5842	13208
184	5882	13195
185	5911	13157
186	5939	13118
187	5970	13083
188	5999	13046
189	6028	13008
190	6057	12970
191	6087	12935
192	6116	12898
193	6145	12860
194	6174	12823
195	6202	12784
196	6229	12743
197	6257	12704
198	6285	12666
199	6313	12627
200	6344	12593
201	6373	12558
202	6402	12520
203	6430	12482
204	6460	12447
205	6490	12414
206	6520	12378
207	6549	12343
208	6579	12308
209	6609	12274
210	6647	12254
211	6677	12221
212	6707	12186
213	6737	12152
214	6767	12118
215	6797	12084
216	6828	12051
217	6856	12014
218	6885	11979
219	6915	11945
220	6954	11927
221	6982	11889
222	7010	11851
223	7040	11817
224	7072	11788
225	7101	11751
226	7130	11716
227	7159	11681
228	7188	11645
229	7227	11626
230	7267	11609
231	7305	11587
232	7344	11568
233	7387	11554
234	7420	11525
235	7451	11492
236	7482	11461
237	7513	11427
238	7544	11395
239	7573	11360
240	7603	11326
241	7634	11293
242	7665	11260
243	7694	11226
244	7724	11193
245	7756	11161
246	7786	11127
247	7820	11099
248	7853	11070
249	7883	11036
250	7913	11002
251	7942	10968
252	7971	10933
253	8000	10898
254	8031	10865
255	8071	10846
256	8104	10816
257	8135	10784
258	8167	10753
259	8209	10735
260	8244	10708
261	8279	10680
262	8316	10656
263	8349	10626
264	8386	10601
265	8426	10580
266	8459	10551
267	8494	10523
268	8526	10491
269	8559	10461
270	8591	10429
271	8622	10397
272	8654	10366
273	8684	10332
274	8712	10296
275	8742	10263
276	8802	10264
277	8859	10261
278	8895	10234
279	8934	10211
280	8968	10180
281	8997	10146
282	9029	10114
283	9055	10076
284	9086	10043
285	9114	10007
286	9144	9973
287	9174	9938
288	9201	9902
289	9228	9865
290	9255	9828
291	9284	9793
292	9312	9757
293	9340	9721
294	9369	9687
295	9397	9651
296	9426	9617
297	9455	9582
298	9487	9550
299	9520	9520
300	9553	9489
301	9590	9463
302	9627	9436
303	9658	9404
304	9687	9369
305	9714	9333
306	9742	9297
307	9770	9263
308	9799	9228
309	9825	9191
310	9852	9155
311	9878	9118
312	9904	9081
313	9933	9047
314	9961	9013
315	9989	8978
316	10016	8942
317	10045	8908
318	10076	8875
319	10105	8842
320	10133	8808
321	10161	8773
322	10187	8736
323	10213	8700
324	10239	8663
325	10266	8629
326	10294	8594
327	10321	8559
328	10348	8523
329	10375	8489
330	10404	8455
331	10430	8420
332	10456	8384
333	10483	8349
334	10510	8313
335	10536	8278
336	10563	8243
337	10590	8208
338	10618	8175
339	10648	8143
340	10675	8108
341	10702	8073
342	10730	8039
343	10757	8005
344	10783	7970
345	10809	7935
346	10835	7900
347	10861	7865
348	10888	7830
349	10915	7796
350	10943	7763
351	10970	7729
352	10999	7696
353	11025	7662
354	11052	7627
355	11079	7593
356	11107	7560
357	11134	7526
358	11162	7493
359	11187	7458
360	11212	7423
361	11238	7388
362	11263	7354
363	11289	7319
364	11317	7286
365	11345	7253
366	11372	7220
367	11399	7186
368	11425	7152
369	11452	7119
370	11479	7085
371	11506	7052
372	11534	7019
373	11560	6986
374	11587	6952
375	11613	6918
376	11638	6884
377	11666	6851
378	11694	6819
379	11720	6785
380	11747	6752
381	11774	6719
382	11803	6687
383	11831	6655
384	11857	6621
385	11883	6588
386	11911	6555
387	11939	6523
388	11966	6490
389	11994	6458
390	12022	6426
391	12050	6394
392	12077	6361
393	12106	6329
394	12134	6297
395	12161	6264
396	12187	6231
397	12214	6199
398	12240	6166
399	12268	6134
400	12295	6101
401	12322	6069
402	12350	6037
403	12376	6004
404	12403	5971
405	12430	5939
406	12457	5907
407	12485	5875
408	12513	5843
409	12545	5813
410	12573	5781
411	12600	5749
412	12631	5719
413	12661	5688
414	12690	5657
415	12718	5625
416	12747	5594
417	12775	5562
418	12803	5530
419	12830	5498
420	12857	5466
421	12884	5434
422	12913	5403
423	12942	5372
424	12971	5341
425	13000	5310
426	13028	5278
427	13055	5246
428	13083	5215
429	13112	5184
430	13142	5153
431	13170	5121
432	13197	5090
433	13225	5058
434	13251	5026
435	13279	4994
436	13305	4963
437	13333	4931
438	13362	4900
439	13389	4868
440	13416	4837
441	13442	4805
442	13470	4773
443	13496	4742
444	13522	4710
445	13549	4678
446	13577	4647
447	13606	4616
448	13634	4585
449	13661	4553
450	13690	4522
451	13719	4492
452	13746	4460
453	13773	4429
454	13801	4398
455	13828	4366
456	13854	4335
457	13881	4304
458	13908	4272
459	13935	4241
460	13963	4210
461	13992	4179
462	14020	4148
463	14048	4117
464	14074	4086
465	14102	4055
466	14130	4024
467	14158	3993
468	14185	3962
469	14213	3931
470	14241	3900
471	14267	3869
472	14294	3838
473	14322	3807
474	14349	3776
475	14378	3745
476	14405	3714
477	14431	3683
478	14458	3652
479	14484	3621
480	14511	3590
481	14536	3558
482	14562	3527
483	14588	3496
484	14616	3465
485	14645	3435
486	14671	3404
487	14697	3373
488	14724	3342
489	14750	3311
490	14777	3280
491	14806	3250
492	14845	3221
493	14871	3190
494	14898	3160
495	14924	3129
496	14952	3098
497	14980	3068
498	15009	3037
499	15036	3007
500	15062	2976
501	15089	2945
502	15116	2915
503	15142	2884
504	15167	2853
505	15193	2822
506	15220	2791
507	15246	2761
508	15279	2731
509	15304	2700
510	15330	2670
511	15355	2639
512	15383	2608
513	15410	2578
514	15435	2547
515	15461	2517
516	15488	2486
517	15515	2456
518	15544	2425
519	15571	2395
520	15599	2365
521	15626	2335
522	15654	2304
523	15682	2274
524	15709	2244
525	15738	2214
526	15765	2183
527	15794	2153
528	15822	2123
